,description,header,products,subtitles,time,title,titleUrl,activity_datetime,hour
57,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T08:06:49.092Z,Listened to Black Box,,2019-08-20 08:06:49.092000+00:00,8
58,Blue,Google Play Music,['Google Play Music'],,2019-08-20T08:06:46.851Z,"Skipped Signed, Sealed, Delivered I'm Yours (feat. Stevie Wonder & Angie Stone)",,2019-08-20 08:06:46.851000+00:00,8
59,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T08:06:46.816Z,"Listened to Signed, Sealed, Delivered I'm Yours (feat. Stevie Wonder & Angie Stone)",,2019-08-20 08:06:46.816000+00:00,8
60,Blue & Derek Brown,Google Play Music,['Google Play Music'],,2019-08-20T08:06:44.615Z,Skipped Thank You,,2019-08-20 08:06:44.615000+00:00,8
61,Blue & Derek Brown,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T08:06:44.580Z,Listened to Thank You,,2019-08-20 08:06:44.580000+00:00,8
62,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T08:03:35.100Z,Listened to If You Come Back,,2019-08-20 08:03:35.100000+00:00,8
63,Blue,Google Play Music,['Google Play Music'],,2019-08-20T08:00:05.984Z,Skipped Valentines Day,,2019-08-20 08:00:05.984000+00:00,8
64,Blue,Google Play Music,['Google Play Music'],,2019-08-20T08:00:04.027Z,Skipped Seasons Must Go On,,2019-08-20 08:00:04.027000+00:00,8
65,Blue,Google Play Music,['Google Play Music'],,2019-08-20T08:00:01.781Z,Skipped Sorry Seems To Be The Hardest Word (feat.Elton John),,2019-08-20 08:00:01.781000+00:00,8
66,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:59.252Z,Skipped Cogiendo Recortes,,2019-08-20 07:59:59.252000+00:00,7
67,"Blue, Olivia Brown, Cassandra Black & Jackie Thompson",Google Play Music,['Google Play Music'],,2019-08-20T07:59:57.365Z,Skipped The Conspirators,,2019-08-20 07:59:57.365000+00:00,7
68,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:55.782Z,Skipped Gangsta,,2019-08-20 07:59:55.782000+00:00,7
69,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T07:59:54.295Z,Listened to Curtain Falls,,2019-08-20 07:59:54.295000+00:00,7
70,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:53.856Z,Skipped Curtain Falls,,2019-08-20 07:59:53.856000+00:00,7
71,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:47.853Z,Skipped Oye Como Siento,,2019-08-20 07:59:47.853000+00:00,7
72,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T07:59:46.041Z,Listened to King of the World,,2019-08-20 07:59:46.041000+00:00,7
73,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:45.701Z,Skipped King of the World,,2019-08-20 07:59:45.701000+00:00,7
74,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:42.914Z,Skipped Montadito,,2019-08-20 07:59:42.914000+00:00,7
75,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T07:59:41.843Z,Listened to Guilty,,2019-08-20 07:59:41.843000+00:00,7
76,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:41.552Z,Skipped Guilty,,2019-08-20 07:59:41.552000+00:00,7
77,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T07:59:39.958Z,Listened to All Rise,,2019-08-20 07:59:39.958000+00:00,7
78,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:39.542Z,Skipped All Rise,,2019-08-20 07:59:39.542000+00:00,7
79,Blue,Google Play Music,['Google Play Music'],,2019-08-20T07:59:38.164Z,Skipped One Love,,2019-08-20 07:59:38.164000+00:00,7
80,Blue,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Clear'}]",2019-08-20T07:59:38.143Z,Listened to One Love,,2019-08-20 07:59:38.143000+00:00,7
81,,Play Music,['Google Play Music'],,2019-08-20T07:59:22.240Z,Searched for blue,https://play.google.com/music/search/blue,2019-08-20 07:59:22.240000+00:00,7
82,,Play Music,['Google Play Music'],,2019-08-20T07:39:14.683Z,Searched for blue greatest hits,https://play.google.com/music/search/blue+greatest+hits,2019-08-20 07:39:14.683000+00:00,7
83,Martin Solveig,Google Play Music,['Google Play Music'],,2019-08-19T16:14:53.921Z,Listened to My Love,,2019-08-19 16:14:53.921000+00:00,16
