,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,"7 Songs Home, J. 181: VI. Tractor Ride",A Celebration of Scotland,The Choir of St. Mary&#39;s Music School,42000,0,1,
0,"7 Songs Home, J. 181: VII. Home",A Celebration of Scotland,The Choir of St. Mary&#39;s Music School,100000,0,1,
0,7,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,111208,0,3,
0,72 Virgins (Shiny Happy Jihad),Shiny Happy Jihad,Joe Rogan,180000,0,9,
0,7th Sevens,Migration,Bonobo,307000,0,2,
0,8,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,97334,0,3,
0,80&#39;s Metal,Feelin&#39; kinda Patton,Patton Oswalt,216000,0,1,
0,80&#39;s Porn,Thrilled,Tom Segura,179000,0,2,
0,9,That Mitchell &amp; Webb Sound - series 1 Disc 3,Mitchell &amp; Webb,169639,0,1,
0,911 Is A Joke,Fear Of A Black Planet,Public Enemy,197000,0,1,
0,9PM (Till I Come),Cream Ibiza Classics (Disc 2),ATB,264000,0,7,
0,A Blowjob Behind the Tilt-a-Whirl,Feelin&#39; kinda Patton,Patton Oswalt,60000,0,1,
0,A Boat Lies Waiting (Live At Pompeii 2016),Live At Pompeii,David Gilmour,295000,0,9,
0,A Brief Hello,Despicable,Jim Norton,49000,0,1,
0,A Certain Romance,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,331203,0,1,
0,A Chunk on Marriage,Buried Alive,Aziz Ansari,235000,0,2,
0,A City In Florida,4x4=12,deadmau5,340000,0,20,
0,A Day in the Life,1967-1970 (1 of 2),The Beatles,306000,0,1,
0,A Design For Life,Everything Must Go,Manic Street Preachers,256938,0,3,
0,A Forest,Live At The BBC 1985,The Cure,538000,0,1,
0,A Good Woman&#39;s Love,The Essential Jerry Reed,Jerry Reed,174000,0,1,
0,A Great Day For Freedom (2011 Remastered Version),The Division Bell,Pink Floyd,256000,0,9,
0,A Groovy Kind Of Love (2016 Remastered),The Singles,Phil Collins,210000,0,2,
0,A Lil&#39; Lovin&#39; Sometimes,For Northern Soul Collectors: Volume 1,Alexander Patton,143000,0,1,
0,A Little Bit Of Luck (feat. MC Neat),Garage Classics,The House &amp; Garage Orchestra,253000,0,10,
